Date,nom_ar,nom_fr,unite,valeur
2026-01-06 05:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.39
2026-01-06 05:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1000.5
2026-01-06 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-06 05:00:00,Point de Rosée,Point de Rosée,°C,8.1
2026-01-06 05:00:00,Humidité relative,Humidité relative,%,69.8
2026-01-06 05:00:00,Direction du vent,Direction du vent,Deg,220.7
2026-01-06 05:00:00,Vitesse du vent,Vitesse du vent,m/s,1.72
2026-01-06 04:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.39
2026-01-06 04:00:00,Humidité relative,Humidité relative,%,67.1
2026-01-06 04:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-06 04:00:00,Température,Température,°C,14.1
2026-01-06 04:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1000.8
2026-01-06 04:00:00,Direction du vent,Direction du vent,Deg,217.1
2026-01-06 04:00:00,Point de Rosée,Point de Rosée,°C,8.1
2026-01-06 04:00:00,Vitesse du vent,Vitesse du vent,m/s,0.85
2026-01-06 03:00:00,Point de Rosée,Point de Rosée,°C,8.0
2026-01-06 03:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.39
2026-01-06 03:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1001.1
2026-01-06 03:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-06 03:00:00,Vitesse du vent,Vitesse du vent,m/s,1.13
2026-01-06 03:00:00,Humidité relative,Humidité relative,%,65.6
2026-01-06 03:00:00,Température,Température,°C,14.4
2026-01-06 03:00:00,Direction du vent,Direction du vent,Deg,196.4
2026-01-06 02:00:00,Vitesse du vent,Vitesse du vent,m/s,0.71
2026-01-06 02:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.39
2026-01-06 02:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1001.3
2026-01-06 02:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-06 02:00:00,Point de Rosée,Point de Rosée,°C,8.0
2026-01-06 02:00:00,Humidité relative,Humidité relative,%,70.2
2026-01-06 02:00:00,Température,Température,°C,13.4
2026-01-06 02:00:00,Direction du vent,Direction du vent,Deg,226.2
2026-01-06 01:00:00,Point de Rosée,Point de Rosée,°C,8.1
2026-01-06 01:00:00,Vitesse du vent,Vitesse du vent,m/s,2.15
2026-01-06 01:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.39
2026-01-06 01:00:00,Humidité relative,Humidité relative,%,63.9
2026-01-06 01:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1001.3
2026-01-06 01:00:00,Direction du vent,Direction du vent,Deg,242.4
2026-01-06 01:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-06 01:00:00,Température,Température,°C,14.9
2026-01-06 00:00:00,Direction du vent,Direction du vent,Deg,198.4
2026-01-06 00:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-06 00:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1001.6
2026-01-06 00:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-06 00:00:00,Point de Rosée,Point de Rosée,°C,8.1
2026-01-06 00:00:00,Humidité relative,Humidité relative,%,60.8
2026-01-06 00:00:00,Température,Température,°C,15.7
2026-01-06 00:00:00,Vitesse du vent,Vitesse du vent,m/s,1.8
2026-01-05 23:00:00,Point de Rosée,Point de Rosée,°C,7.4
2026-01-05 23:00:00,Température,Température,°C,15.2
2026-01-05 23:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 23:00:00,Direction du vent,Direction du vent,Deg,220.3
2026-01-05 23:00:00,Vitesse du vent,Vitesse du vent,m/s,2.1
2026-01-05 23:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-05 23:00:00,Humidité relative,Humidité relative,%,59.8
2026-01-05 23:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1001.7
2026-01-05 22:00:00,Point de Rosée,Point de Rosée,°C,7.6
2026-01-05 22:00:00,Humidité relative,Humidité relative,%,58.1
2026-01-05 22:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 22:00:00,Température,Température,°C,15.8
2026-01-05 22:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-05 22:00:00,Direction du vent,Direction du vent,Deg,198.5
2026-01-05 22:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1001.7
