Date,nom_ar,nom_fr,unite,valeur
2025-12-18 15:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-18 13:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,233.0
2025-12-18 13:00:02,Direction du vent,Direction du vent,Deg,260.7
2025-12-18 13:00:02,Température,Température,°C,18.1
2025-12-18 13:00:02,Humidité relative,Humidité relative,%,100.0
2025-12-18 13:00:02,Point de Rosée,Point de Rosée,°C,18.1
2025-12-18 13:00:02,Vitesse du vent,Vitesse du vent,m/s,0.52
2025-12-18 13:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1019.1
2025-12-18 13:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-18 13:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-18 11:00:02,Vitesse du vent,Vitesse du vent,m/s,1.48
2025-12-18 11:00:02,Direction du vent,Direction du vent,Deg,185.2
2025-12-18 11:00:02,Température,Température,°C,16.4
2025-12-18 11:00:02,Humidité relative,Humidité relative,%,100.0
2025-12-18 11:00:02,Point de Rosée,Point de Rosée,°C,16.4
2025-12-18 11:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,131.0
2025-12-18 11:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1020.2
2025-12-18 11:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-18 11:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-18 09:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-18 09:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1019.7
2025-12-18 09:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,97.0
2025-12-18 09:00:02,Point de Rosée,Point de Rosée,°C,15.1
2025-12-18 09:00:02,Humidité relative,Humidité relative,%,100.0
2025-12-18 09:00:02,Température,Température,°C,15.1
2025-12-18 09:00:02,Direction du vent,Direction du vent,Deg,222.5
2025-12-18 09:00:02,Vitesse du vent,Vitesse du vent,m/s,0.83
2025-12-18 09:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-18 07:00:02,Température,Température,°C,14.2
2025-12-18 07:00:02,Vitesse du vent,Vitesse du vent,m/s,0.78
2025-12-18 07:00:02,Direction du vent,Direction du vent,Deg,313.1
2025-12-18 07:00:02,Humidité relative,Humidité relative,%,100.0
2025-12-18 07:00:02,Point de Rosée,Point de Rosée,°C,14.2
2025-12-18 07:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-18 07:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1019.3
2025-12-18 07:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-18 07:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-18 05:00:02,Vitesse du vent,Vitesse du vent,m/s,1.61
2025-12-18 05:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-18 05:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1018.3
2025-12-18 05:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-18 05:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-18 05:00:02,Point de Rosée,Point de Rosée,°C,15.1
2025-12-18 05:00:02,Humidité relative,Humidité relative,%,100.0
2025-12-18 05:00:02,Température,Température,°C,15.1
2025-12-18 05:00:02,Direction du vent,Direction du vent,Deg,242.5
2025-12-18 03:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-18 03:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-18 03:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-18 03:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1018.8
2025-12-18 03:00:02,Point de Rosée,Point de Rosée,°C,14.8
2025-12-18 03:00:02,Humidité relative,Humidité relative,%,100.0
2025-12-18 03:00:02,Température,Température,°C,14.8
2025-12-18 03:00:02,Direction du vent,Direction du vent,Deg,308.9
2025-12-18 03:00:02,Vitesse du vent,Vitesse du vent,m/s,0.82
