Date,nom_ar,nom_fr,unite,valeur
2025-12-18 15:00:00,Température,Température,°c,13.7
2025-12-18 15:00:00,Humidité relative,Humidité relative,%,88.5
2025-12-18 15:00:00,Point de Rosée,Point de Rosée,°c,11.8
2025-12-18 15:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,954.8
2025-12-18 15:00:00,Vitesse du vent,Vitesse du vent,m/s,0.96
2025-12-18 14:00:00,Direction du vent,Direction du vent,Deg,87.6
2025-12-18 14:00:00,Vitesse du vent,Vitesse du vent,m/s,0.26
2025-12-18 14:00:00,Humidité relative,Humidité relative,%,93.4
2025-12-18 14:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,954.7
2025-12-18 14:00:00,Point de Rosée,Point de Rosée,°c,12.0
2025-12-18 14:00:00,Température,Température,°c,13.0
2025-12-18 13:00:00,Vitesse du vent,Vitesse du vent,m/s,2.05
2025-12-18 13:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,955.1
2025-12-18 13:00:00,Direction du vent,Direction du vent,Deg,31.6
2025-12-18 13:00:00,Température,Température,°c,13.6
2025-12-18 13:00:00,Humidité relative,Humidité relative,%,87.2
2025-12-18 13:00:00,Point de Rosée,Point de Rosée,°c,11.5
2025-12-18 12:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,955.6
2025-12-18 12:00:00,Humidité relative,Humidité relative,%,92.8
2025-12-18 12:00:00,Température,Température,°c,13.2
2025-12-18 12:00:00,Direction du vent,Direction du vent,Deg,116.0
2025-12-18 12:00:00,Point de Rosée,Point de Rosée,°c,12.0
2025-12-18 12:00:00,Vitesse du vent,Vitesse du vent,m/s,0.75
2025-12-18 11:00:00,Direction du vent,Direction du vent,Deg,143.7
2025-12-18 11:00:00,Point de Rosée,Point de Rosée,°c,10.8
2025-12-18 11:00:00,Humidité relative,Humidité relative,%,86.2
2025-12-18 11:00:00,Température,Température,°c,13.1
2025-12-18 11:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,956.3
